Temperature (Celsius),Species,strain_ID,Week,Plate,Growth
15,Rhizopogon idahoensis,RP07,3,6,3.381
15,Rhizopogon idahoensis,RP07,4,1,4.224
15,Rhizopogon idahoensis,RP07,4,2,4.380
15,Rhizopogon idahoensis,RP07,4,3,4.384
15,Rhizopogon idahoensis,RP07,4,4,4.212
15,Rhizopogon idahoensis,RP07,4,5,4.190
15,Rhizopogon idahoensis,RP07,4,6,4.614
15,Rhizopogon idahoensis,RP07,5,1,6.531
15,Rhizopogon idahoensis,RP07,5,2,6.150
15,Rhizopogon idahoensis,RP07,5,3,6.660
15,Rhizopogon idahoensis,RP07,5,4,5.796
15,Rhizopogon idahoensis,RP07,5,5,5.744
15,Rhizopogon idahoensis,RP07,5,6,6.234
15,Cenococcum geophilum,CengeV1,1,1,0.68
15,Cenococcum geophilum,CengeV1,1,2,0.517
15,Cenococcum geophilum,CengeV1,1,3,0.583
15,Cenococcum geophilum,CengeV1,1,4,0.682
15,Cenococcum geophilum,CengeV1,1,5,0.637
15,Cenococcum geophilum,CengeV1,1,6,0.62
15,Cenococcum geophilum,CengeV1,3,1,1.011
15,Cenococcum geophilum,CengeV1,3,2,0.928
15,Cenococcum geophilum,CengeV1,3,3,1.109
15,Cenococcum geophilum,CengeV1,3,4,1.248
15,Cenococcum geophilum,CengeV1,3,5,1.431
15,Cenococcum geophilum,CengeV1,3,6,1.232
15,Cenococcum geophilum,CengeV1,4,1,1.423
15,Cenococcum geophilum,CengeV1,4,2,1.46
15,Cenococcum geophilum,CengeV1,4,3,1.624
15,Cenococcum geophilum,CengeV1,4,4,2.115
15,Cenococcum geophilum,CengeV1,4,5,2.048
15,Cenococcum geophilum,CengeV1,4,6,1.787
15,Cenococcum geophilum,CengeV1,5,1,2.885
15,Cenococcum geophilum,CengeV1,5,2,3.258
15,Cenococcum geophilum,CengeV1,5,3,3.08
15,Cenococcum geophilum,CengeV1,5,4,4.248
15,Cenococcum geophilum,CengeV1,5,5,3.88
15,Cenococcum geophilum,CengeV1,5,6,3.466
15,Laccaria bicolor,LacbV1,1,1,1.311
15,Laccaria bicolor,LacbV1,1,2,0.889
15,Laccaria bicolor,LacbV1,1,3,1.224
15,Laccaria bicolor,LacbV1,1,4,0.999
15,Laccaria bicolor,LacbV1,1,5,1.156
15,Laccaria bicolor,LacbV1,1,6,1.234
15,Laccaria bicolor,LacbV1,3,1,7.561
15,Laccaria bicolor,LacbV1,3,2,8.314
15,Laccaria bicolor,LacbV1,3,3,8.95
15,Laccaria bicolor,LacbV1,3,4,8.24
